consulta                                                                                     , diagnostico_esperado    , diagnostico_generado                                   , puntuacion, entidades_extraidas                                       , sintomas_reales                                                   , tiempo_total_seg, cantidad_preguntas
"Desde hace meses me siento muy cansado, tengo palidez y me falta el aire al hacer esfuerzo.", Anemia ferropénica      , Sospecha de Anemia ferropénica                         ,          4, "fatiga, palidez, disnea de esfuerzo"                     , "['fatiga', 'palidez', 'disnea de esfuerzo']"                     ,  8.71100938     ,                  2
"Desde hace meses me siento muy cansado, tengo palidez y me falta el aire al hacer esfuerzo.", Anemia ferropénica      , Puede tratarse de Anemia ferropénica leve              ,          5, "fatiga, palidez, disnea de esfuerzo"                     , "['fatiga', 'palidez', 'disnea de esfuerzo']"                     ,  5.112358867    ,                  1
"Desde hace meses me siento muy cansado, tengo palidez y me falta el aire al hacer esfuerzo.", Anemia ferropénica      , Posiblemente Anemia ferropénica                        ,          3, "fatiga, palidez, disnea de esfuerzo"                     , "['fatiga', 'palidez', 'disnea de esfuerzo']"                     ,  2.4120093      ,                  0
Siento ardor al orinar y tengo que ir al baño muy seguido.                                   , Infección urinaria      , Síntomas compatibles con Infección urinaria            ,          0, "disuria, polaquiuria, urgencia urinaria"                 , "['disuria', 'polaquiuria', 'urgencia urinaria']"                 ,  9.32576522205  ,                  3
Siento ardor al orinar y tengo que ir al baño muy seguido.                                   , Infección urinaria      , "Infección urinaria leve, pero requiere evaluación"    ,          5, "disuria, polaquiuria, urgencia urinaria"                 , "['disuria', 'polaquiuria', 'urgencia urinaria']"                 ,  7.22990234     ,                  2
Siento ardor al orinar y tengo que ir al baño muy seguido.                                   , Infección urinaria      , Posiblemente Infección urinaria                        ,          3, "disuria, polaquiuria, urgencia urinaria"                 , "['disuria', 'polaquiuria', 'urgencia urinaria']"                 ,  4.87902384345  ,                  1
Siento ardor al orinar y tengo que ir al baño muy seguido.                                   , Infección urinaria      , Infección urinaria o condición similar                 ,          3, "disuria, polaquiuria, urgencia urinaria"                 , "['disuria', 'polaquiuria', 'urgencia urinaria']"                 ,  2.16871238     ,                  0
"Tengo dolor de garganta, fiebre leve y dificultad para tragar."                             , Faringitis              , Faringitis o condición similar                         ,          2, "odinofagia, fiebre, inflamación faríngea"                , "['odinofagia', 'fiebre', 'inflamación faríngea']"                , 10.239768       ,                  3
"Tengo dolor de garganta, fiebre leve y dificultad para tragar."                             , Faringitis              , "Faringitis leve, pero requiere evaluación"            ,          5, "odinofagia, fiebre, inflamación faríngea"                , "['odinofagia', 'fiebre', 'inflamación faríngea']"                ,  6.9387102445   ,                  2
"Tengo dolor de garganta, fiebre leve y dificultad para tragar."                             , Faringitis              , Posiblemente Faringitis                                ,          0, "odinofagia, fiebre, inflamación faríngea"                , "['odinofagia', 'fiebre', 'inflamación faríngea']"                ,  4.1982302352934,                  1
"Tengo dolor de garganta, fiebre leve y dificultad para tragar."                             , Faringitis              , Puede tratarse de Faringitis leve                      ,          4, "odinofagia, fiebre, inflamación faríngea"                , "['odinofagia', 'fiebre', 'inflamación faríngea']"                ,  2.0875         ,                  0
Me despierto tosiendo por la noche y siento opresión en el pecho.                            , Asma                    , Posiblemente Asma                                      ,          2, "tos nocturna, opresión torácica, dificultad respiratoria", "['tos nocturna', 'opresión torácica', 'dificultad respiratoria']",  7.3726050027922,                  2
Me despierto tosiendo por la noche y siento opresión en el pecho.                            , Asma                    , Asma o condición similar                               ,          5, "tos nocturna, opresión torácica, dificultad respiratoria", "['tos nocturna', 'opresión torácica', 'dificultad respiratoria']",  5.06547624     ,                  1
Me despierto tosiendo por la noche y siento opresión en el pecho.                            , Asma                    , Sospecha de Asma                                       ,          3, "tos nocturna, opresión torácica, dificultad respiratoria", "['tos nocturna', 'opresión torácica', 'dificultad respiratoria']",  2.723498647    ,                  0
